Step,Fitness,CurrentGenomeSize,FinalGenomeSize,StartingLoci,Replicate
2391,1.3244811794125264,5.0,8.0,5,1876
2392,1.357587897032897,6.0,8.0,5,1876
2551,1.4148454765668896,7.0,8.0,5,1876
2986,1.5094509258099285,8.0,8.0,5,1876
4958,1.5255820201906272,8.0,8.0,5,1876
5023,1.7009217450336445,7.0,8.0,5,1876
5245,1.7545619859375243,7.0,8.0,5,1876
5414,1.8165809712609664,8.0,8.0,5,1876
0,0.904003453964977,5.0,5.003,5,1877
51,1.0986030570063081,5.0,5.003,5,1877
99,1.2208615752733651,5.0,5.003,5,1877
0,0.9330298195711164,5.0,7.0,5,1878
67,1.1561990200980934,6.0,7.0,5,1878
348,1.1966042608197645,6.0,7.0,5,1878
833,1.3378926870743646,7.0,7.0,5,1878
0,0.9251714247393001,5.0,6.0,5,1879
34,1.103171089777089,5.0,6.0,5,1879
755,1.2472498898371422,6.0,6.0,5,1879
0,0.9348708026542744,5.0,5.0,5,1880
42,1.0535975120153898,5.0,5.0,5,1880
61,1.11325861021919,5.0,5.0,5,1880
69,1.2490426397878578,5.0,5.0,5,1880
0,1.0662005616692587,5.0,7.0,5,1881
115,1.1396860535721551,5.0,7.0,5,1881
1408,1.2434052570911696,4.0,7.0,5,1881
4635,1.2914190901334188,5.0,7.0,5,1881
5597,1.3253662043646481,6.0,7.0,5,1881
5620,1.326373934209155,6.0,7.0,5,1881
5621,1.3253662043646481,6.0,7.0,5,1881
5659,1.326373934209155,6.0,7.0,5,1881
7423,1.341097589517573,7.0,7.0,5,1881
0,0.9439601261069697,5.0,7.002,5,1882
26,1.2234069832816192,5.0,7.002,5,1882
193,1.2602082250685667,5.0,7.002,5,1882
199,1.2234069832816192,5.0,7.002,5,1882
200,1.2602082250685667,5.0,7.002,5,1882
201,1.2234069832816192,5.0,7.002,5,1882
203,1.2602082250685667,5.0,7.002,5,1882
204,1.2234069832816192,5.0,7.002,5,1882
205,1.2602082250685667,5.0,7.002,5,1882
218,1.2234069832816192,5.0,7.002,5,1882
219,1.2602082250685667,5.0,7.002,5,1882
344,1.3335577701880719,6.0,7.002,5,1882
484,1.6121174354484824,7.0,7.002,5,1882
0,0.9971470552310431,5.0,5.0,5,1883
67,1.1286395796271984,5.0,5.0,5,1883
145,1.190241124084332,5.0,5.0,5,1883
3100,1.216131677356398,6.0,5.0,5,1883
3498,1.2693603371020632,5.0,5.0,5,1883
0,1.0479378577451246,5.0,5.0,5,1884
71,1.2957093658883323,5.0,5.0,5,1884
24744,1.3185185171507356,5.0,5.0,5,1884
24745,1.2957093658883323,5.0,5.0,5,1884
24752,1.3185185171507356,5.0,5.0,5,1884
0,1.0391186245334614,5.0,6.0,5,1885
93,1.1130949714268537,5.0,6.0,5,1885
1019,1.3237005057960323,6.0,6.0,5,1885
0,0.9174129699720828,5.0,7.997,5,1886
28,1.222458465838229,5.0,7.997,5,1886
15234,1.4430535420164714,6.0,7.997,5,1886
28316,1.496793131882107,7.0,7.997,5,1886
30483,1.526887808910959,7.0,7.997,5,1886
30491,1.496793131882107,7.0,7.997,5,1886
30494,1.526887808910959,7.0,7.997,5,1886
30495,1.496793131882107,7.0,7.997,5,1886
30497,1.526887808910959,7.0,7.997,5,1886
31336,1.5540086368765076,8.0,7.997,5,1886
31337,1.526887808910959,7.0,7.997,5,1886
31338,1.5540086368765076,8.0,7.997,5,1886
0,1.0351048732823829,5.0,4.0,5,1887
83,1.1616112317182221,5.0,4.0,5,1887
1233,1.2042910716180626,5.0,4.0,5,1887
2377,1.326712076284746,4.0,4.0,5,1887
0,0.7916383505359191,5.0,8.0,5,1888
23,1.1232639972579916,5.0,8.0,5,1888
67,1.229659312579313,6.0,8.0,5,1888
922,1.2671693886427329,7.0,8.0,5,1888
987,1.2882927111685203,7.0,8.0,5,1888
988,1.2671693886427329,7.0,8.0,5,1888
990,1.2882927111685203,7.0,8.0,5,1888
1007,1.5990971491726262,8.0,8.0,5,1888
0,0.9811852596480332,5.0,5.0,5,1889
32,1.2037467194543336,5.0,5.0,5,1889
84,1.332255360838964,5.0,5.0,5,1889
0,1.013138709956113,5.0,5.0,5,1890
32,1.4273542791256941,5.0,5.0,5,1890
0,0.9510442819134487,5.0,5.986,5,1891
25,1.248804246225881,5.0,5.986,5,1891
4870,1.2569217870349922,6.0,5.986,5,1891
4873,1.248804246225881,5.0,5.986,5,1891
4878,1.2569217870349922,6.0,5.986,5,1891
4883,1.248804246225881,5.0,5.986,5,1891
4884,1.2569217870349922,6.0,5.986,5,1891
4886,1.248804246225881,5.0,5.986,5,1891
4932,1.2569217870349922,6.0,5.986,5,1891
0,1.0312558213086798,5.0,9.0,5,1892
77,1.1253409020000407,5.0,9.0,5,1892
128,1.2908882957413528,5.0,9.0,5,1892
140,1.3126482429081068,5.0,9.0,5,1892
1468,1.3217328071256016,6.0,9.0,5,1892
1539,1.3692713160003491,6.0,9.0,5,1892
1540,1.3217328071256016,6.0,9.0,5,1892
1541,1.3692713160003491,6.0,9.0,5,1892
1543,1.3217328071256016,6.0,9.0,5,1892
1544,1.3692713160003491,6.0,9.0,5,1892
1686,1.409694907925553,7.0,9.0,5,1892
3478,1.4466887068020962,8.0,9.0,5,1892
4680,1.5124284095946439,9.0,9.0,5,1892
0,0.9433773016635479,5.0,5.0,5,1893
21,1.2710869980230577,5.0,5.0,5,1893
0,1.0072032866549256,5.0,6.0,5,1894
47,1.1576291969090382,5.0,6.0,5,1894
80,1.3235465033023308,5.0,6.0,5,1894
426,1.3963460736916589,6.0,6.0,5,1894
0,0.9488896095838469,5.0,4.0,5,1895
22,1.2678893606506603,4.0,4.0,5,1895
0,1.0626861755556345,5.0,7.0,5,1896
485,1.2679406450740576,6.0,7.0,5,1896
1014,1.3596531919863213,7.0,7.0,5,1896
0,0.9142790242379847,5.0,3.001,5,1897
50,1.0608318629692983,5.0,3.001,5,1897
127,1.2411055235118988,4.0,3.001,5,1897
5305,1.2950738796521601,3.0,3.001,5,1897
0,0.9670893677132866,5.0,6.0,5,1898
79,1.247923692359861,5.0,6.0,5,1898
252,1.3591689750075664,6.0,6.0,5,1898
1668,1.5882584048675226,6.0,6.0,5,1898
0,0.9242383390092388,5.0,6.006,5,1899
73,1.1144992551716164,5.0,6.006,5,1899
223,1.3465031118475153,6.0,6.006,5,1899
444,1.3946535291870452,7.0,6.006,5,1899
754,1.4570985337160993,6.0,6.006,5,1899
755,1.3946535291870452,7.0,6.006,5,1899
759,1.4570985337160993,6.0,6.006,5,1899
1280,1.601671657234612,6.0,6.006,5,1899
0,1.1679547361758786,5.0,6.001,5,1900
244,1.22089875701743,6.0,6.001,5,1900
17888,1.2892287137971568,6.0,6.001,5,1900
18125,1.3684012017634748,6.0,6.001,5,1900
18267,1.5321737583295005,7.0,6.001,5,1900
19116,1.5880400390478988,6.0,6.001,5,1900
19121,1.5321737583295005,7.0,6.001,5,1900
19122,1.5880400390478988,6.0,6.001,5,1900
0,1.082362751435853,5.0,7.999,5,1901
1047,1.1004121824524953,6.0,7.999,5,1901
1052,1.082362751435853,5.0,7.999,5,1901
1056,1.1004121824524953,6.0,7.999,5,1901
1520,1.3288142234459472,7.0,7.999,5,1901
14628,1.3808931361193573,8.0,7.999,5,1901
0,1.054150535127881,5.0,8.999,5,1902
200,1.2229261395664202,5.0,8.999,5,1902
302,1.2835054571679185,5.0,8.999,5,1902
377,1.455281961314093,6.0,8.999,5,1902
18185,1.4954488472567247,7.0,8.999,5,1902
18188,1.455281961314093,6.0,8.999,5,1902
18192,1.4954488472567247,7.0,8.999,5,1902
19099,1.5320939917000842,8.0,8.999,5,1902
35277,1.542619400067341,9.0,8.999,5,1902
35280,1.5320939917000842,8.0,8.999,5,1902
35281,1.542619400067341,9.0,8.999,5,1902
35283,1.5320939917000842,8.0,8.999,5,1902
35285,1.542619400067341,9.0,8.999,5,1902
0,1.0841263213787962,5.0,5.0,5,1903
711,1.0970016192078342,6.0,5.0,5,1903
1409,1.1772414902884378,5.0,5.0,5,1903
0,1.0755442161440394,5.0,8.001,5,1904
117,1.2011915948863856,7.0,8.001,5,1904
124,1.3804190340845706,7.0,8.001,5,1904
282,1.4333223270125643,7.0,8.001,5,1904
505,1.4763876085560075,8.0,8.001,5,1904
0,1.199522236742431,5.0,5.0,5,1905
116,1.2980174295714086,4.0,5.0,5,1905
43118,1.4413817901583301,5.0,5.0,5,1905
0,1.126022891208382,5.0,7.0,5,1906
108,1.1870416553797143,5.0,7.0,5,1906
211,1.2592819078543114,6.0,7.0,5,1906
525,1.3513002311472848,7.0,7.0,5,1906
0,1.0897330777140104,5.0,6.0,5,1907
109,1.1578359315928277,5.0,6.0,5,1907
2794,1.2849519065883477,6.0,6.0,5,1907
0,1.0922666881414476,5.0,5.998,5,1908
73,1.2143449446023011,5.0,5.998,5,1908
32227,1.3060636909014316,6.0,5.998,5,1908
0,1.131377670815087,5.0,5.998,5,1909
88,1.2396840950987038,5.0,5.998,5,1909
118,1.3705899121360685,5.0,5.998,5,1909
175,1.58832358527775,6.0,5.998,5,1909
0,1.1105528657183368,5.0,8.001,5,1910
493,1.1904878859417993,6.0,8.001,5,1910
1668,1.2951108712811505,7.0,8.001,5,1910
2110,1.315697363612145,7.0,8.001,5,1910
2111,1.2951108712811505,7.0,8.001,5,1910
2113,1.315697363612145,7.0,8.001,5,1910
2115,1.2951108712811505,7.0,8.001,5,1910
2116,1.315697363612145,7.0,8.001,5,1910
2118,1.2951108712811505,7.0,8.001,5,1910
2121,1.315697363612145,7.0,8.001,5,1910
2122,1.2951108712811505,7.0,8.001,5,1910
2123,1.315697363612145,7.0,8.001,5,1910
2124,1.2951108712811505,7.0,8.001,5,1910
2126,1.315697363612145,7.0,8.001,5,1910
5243,1.3533932655583802,8.0,8.001,5,1910
5244,1.315697363612145,7.0,8.001,5,1910
5245,1.3533932655583802,8.0,8.001,5,1910
5823,1.3777132941380692,8.0,8.001,5,1910
5824,1.3533932655583802,8.0,8.001,5,1910
5829,1.3777132941380692,8.0,8.001,5,1910
5830,1.3533932655583802,8.0,8.001,5,1910
5934,1.3777132941380692,8.0,8.001,5,1910
5935,1.3533932655583802,8.0,8.001,5,1910
5936,1.3777132941380692,8.0,8.001,5,1910
5937,1.3533932655583802,8.0,8.001,5,1910
5938,1.3777132941380692,8.0,8.001,5,1910
5949,1.3533932655583802,8.0,8.001,5,1910
5951,1.3777132941380692,8.0,8.001,5,1910
5953,1.3533932655583802,8.0,8.001,5,1910
5956,1.3777132941380692,8.0,8.001,5,1910
0,0.8646940452662163,5.0,6.0,5,1911
43,1.2963610281562672,6.0,6.0,5,1911
248,1.3081051961228956,6.0,6.0,5,1911
251,1.2963610281562672,6.0,6.0,5,1911
254,1.3081051961228956,6.0,6.0,5,1911
345,1.2963610281562672,6.0,6.0,5,1911
354,1.3081051961228956,6.0,6.0,5,1911
0,1.101081124429615,5.0,5.0,5,1912
87,1.2348615903280282,4.0,5.0,5,1912
327,1.2448327993498836,5.0,5.0,5,1912
350,1.2348615903280282,4.0,5.0,5,1912
353,1.2448327993498836,5.0,5.0,5,1912
355,1.2348615903280282,4.0,5.0,5,1912
446,1.2448327993498836,5.0,5.0,5,1912
484,1.2348615903280282,4.0,5.0,5,1912
486,1.2448327993498836,5.0,5.0,5,1912
489,1.2348615903280282,4.0,5.0,5,1912
509,1.2448327993498836,5.0,5.0,5,1912
510,1.2348615903280282,4.0,5.0,5,1912
543,1.2448327993498836,5.0,5.0,5,1912
605,1.2681782591712418,5.0,5.0,5,1912
0,0.9587074073638582,5.0,6.0,5,1913
33,1.2366978447970933,5.0,6.0,5,1913
396,1.3662426440632527,6.0,6.0,5,1913
428,1.5306219023253076,6.0,6.0,5,1913
0,1.0302283739223568,5.0,7.0,5,1914
91,1.1729678825974197,5.0,7.0,5,1914
155,1.3733582647354459,6.0,7.0,5,1914
2964,1.40484845558133,7.0,7.0,5,1914
0,0.9006431279002679,5.0,5.0,5,1915
31,1.1443583979058891,6.0,5.0,5,1915
76,1.2237019920691992,5.0,5.0,5,1915
0,0.9174413402979533,5.0,8.0,5,1916
32,1.0850030944348314,5.0,8.0,5,1916
54,1.1324572964076596,6.0,8.0,5,1916
77,1.3105633976263953,5.0,8.0,5,1916
273,1.4429843890295722,6.0,8.0,5,1916
19945,1.472607010207373,7.0,8.0,5,1916
19946,1.4429843890295722,6.0,8.0,5,1916
19949,1.472607010207373,7.0,8.0,5,1916
20141,1.7087509169216282,8.0,8.0,5,1916
0,0.989855996778766,5.0,6.0,5,1917
62,1.1005701979567384,5.0,6.0,5,1917
80,1.3036874384917252,5.0,6.0,5,1917
313,1.3510107720180158,4.0,6.0,5,1917
726,1.5024577014318221,5.0,6.0,5,1917
1662,1.6377952205135005,6.0,6.0,5,1917
